id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,genericcolumn1,genericcolumn2,storageLocation,observerUid,processingStatus,duplicateQuantity,recordEnteredBy,dateEntered,dateLastModified,modified,sourcePrimaryKey-dbpk,recordId,references
109964,"University of Minnesota",,,PreservedSpecimen,,CtAP011,"A11JMZC11B, JMZC11B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC11B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP011,urn:uuid:395f3fdc-fffa-4a99-9a3f-b889b39b7ab4,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109964
109965,"University of Minnesota",,,PreservedSpecimen,,CtAP012,"A12JMZC12B, JMZC12B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC12B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP012,urn:uuid:7bcb1bdf-b71a-4a37-a88b-a46e20c9454c,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109965
109966,"University of Minnesota",,,PreservedSpecimen,,CtAP013,"B01JMZC13B, JMZC13B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC13B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP013,urn:uuid:e1c227f8-8d04-4101-9ea2-b4189f61c62b,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109966
109967,"University of Minnesota",,,PreservedSpecimen,,CtAP014,"B02JMZC14B, JMZC14B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC14B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP014,urn:uuid:d58f6747-c4ab-4960-b992-d4716157491d,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109967
109968,"University of Minnesota",,,PreservedSpecimen,,CtAP015,"B03JMZC15B, JMZC15B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC15B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP015,urn:uuid:9836ca08-0b6f-4df7-b227-4997f1d29ef9,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109968
109969,"University of Minnesota",,,PreservedSpecimen,,CtAP016,"B04JMZC16B, JMZC16B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC16B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP016,urn:uuid:2d8c644c-a7e8-4f3d-bbb0-098ccf44b5a0,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109969
109970,"University of Minnesota",,,PreservedSpecimen,,CtAP017,"B05JMZC17B, JMZC17B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC17B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP017,urn:uuid:dff13cf5-de93-4840-9d7b-78381eab6cfb,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109970
109971,"University of Minnesota",,,PreservedSpecimen,,CtAP018,"B06JMZC18B, JMZC18B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC18B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP018,urn:uuid:1258ae34-7fae-47fb-b9d6-94bef855af97,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109971
109972,"University of Minnesota",,,PreservedSpecimen,,CtAP019,"B07JMZC19B, JMZC19B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC19B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP019,urn:uuid:1dd66bbe-061b-4e32-a063-634e9b48988a,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109972
109973,"University of Minnesota",,,PreservedSpecimen,,CtAP020,"B08JMZC20B, JMZC20B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-20,2008,0,20,,,20-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZC20B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Kraunoka River Valley",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,91,,,,,"91 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP020,urn:uuid:a8e2406f-2bda-4145-8ce4-a18e08bfa42b,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109973
109974,"University of Minnesota",,,PreservedSpecimen,,CtAP021,"B09JMZCG1B, JMZCG1B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-29,2008,0,29,,,29-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG1B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP021,urn:uuid:8e092aa0-e060-4438-bcdf-d514e30bf902,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109974
109975,"University of Minnesota",,,PreservedSpecimen,,CtAP022,"B10JMZCG2B, JMZCG2B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-16,2008,0,16,,,16-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG2B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP022,urn:uuid:c1bd3da0-02ec-4485-a057-f14099ae3032,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109975
109976,"University of Minnesota",,,PreservedSpecimen,,CtAP023,"B11JMZCG3B, JMZCG3B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-29,2008,0,29,,,29-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG3B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP023,urn:uuid:952ab664-ee1e-494e-ad7b-6e56bfe085c6,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109976
109977,"University of Minnesota",,,PreservedSpecimen,,CtAP024,"B12JMZCG4B, JMZCG4B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-24,2008,0,24,,,24-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG4B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP024,urn:uuid:30c21d41-2166-4146-aba2-7f9d79075424,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109977
109978,"University of Minnesota",,,PreservedSpecimen,,CtAP025,"C01JMZCG5B, JMZCG5B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-24,2008,0,24,,,24-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG5B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP025,urn:uuid:daf690cf-ebb8-481a-af9f-96044f9bf766,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109978
109979,"University of Minnesota",,,PreservedSpecimen,,CtAP026,"C02JMZCG6B, JMZCG6B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-17,2008,0,17,,,17-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG6B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP026,urn:uuid:ff4c8708-26a0-4978-8f8e-f1f06dc1e082,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109979
109980,"University of Minnesota",,,PreservedSpecimen,,CtAP027,"C03JMZCG7B, JMZCG7B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-17,2008,0,17,,,17-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG7B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP027,urn:uuid:c424c925-a48a-4161-ab78-1cfca0f60931,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109980
109981,"University of Minnesota",,,PreservedSpecimen,,CtAP028,"C04JMZCG8B, JMZCG8B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-24,2008,0,24,,,24-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG8B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP028,urn:uuid:06dbf6b3-2202-49d0-8a83-0bda704823cb,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109981
109982,"University of Minnesota",,,PreservedSpecimen,,CtAP029,"C05JMZCG9B, JMZCG9B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-24,2008,0,24,,,24-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG9B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP029,urn:uuid:6c6a5fce-13db-49c9-9749-586b3835b295,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109982
109983,"University of Minnesota",,,PreservedSpecimen,,CtAP030,"C06JMZCG10B, JMZCG10B",,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-24,2008,0,24,,,24-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZCG10B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Gornotayeznaya Biol. Sta.",Europe,0,,43.698617,132.152183,,,"43.698617, 132.152183",,,,,,300,,,,,"300 m",,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP030,urn:uuid:4eeb1219-d808-4868-932b-f9a61ecad295,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109983
109984,"University of Minnesota",,,PreservedSpecimen,,CtAP031,C07JMZGL1B,,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-21,2008,0,21,,,21-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZGL1B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Glee Factory",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,,,,,,NA,,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP031,urn:uuid:3030ef57-3a1d-40e4-9405-d507429dfe7c,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109984
109985,"University of Minnesota",,,PreservedSpecimen,,CtAP032,C08JMZGL2B,,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-21,2008,0,21,,,21-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZGL2B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Glee Factory",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,,,,,,NA,,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP032,urn:uuid:32c188b8-cf17-476f-acf3-a41454156127,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109985
109986,"University of Minnesota",,,PreservedSpecimen,,CtAP033,C09JMZGL3B,,,,,,"Calyptra thalictri",,,,,,,JMZaspel,,,,,,,JMZaspel,,,,2008-00-21,2008,0,21,,,21-VII-2008,"Sample Donor: JMZaspel Donor email: zasp0001@umn.edu",,,,JMZGL3B,,,,,,,,Adult,NA,,,,,Russia,"Primorye Territor",,,"Glee Factory",Europe,0,,43.74295,131.636967,,,"43.74295, 131.636967",,,,,,,,,,,NA,,,,,,,,,,"2018-08-28 08:02:29","2018-08-28 08:02:29","2018-08-28 08:02:29",CtAP033,urn:uuid:37a6374e-ce8b-4c29-902e-3ea489673505,https://symbiota.ccber.ucsb.edu:443/collections/individual/index.php?occid=109986
